date,dailycase,acccase,dailyvaccine,accvaccine,Mnuminter,Cnuminter,Mnumvac,Cnumvac,MscoreIntervention,CscoreIntervention,MscoreVaccine,CscoreVaccine,dailyvaccine3,accvaccine3
2021-03-26,4000.5004027877303,917080.3387514101,72498.65779444296,2714913.060936866,25.250713092089963,18.581070176703626,44.196249660971525,11.580730404841715,77.73621790647266,60.18679384896333,158.63035706840088,40.31098648334108,0.0,0.0
2021-03-27,4083.610794197289,921157.5279456598,173257.8699776317,2888119.5725415214,25.322086796322534,19.097253083921085,42.65346768950571,11.239646115027309,78.49386241175598,60.71468049067735,159.9271742117468,40.68820754821298,0.0,0.0
2021-03-28,4155.564523074343,925307.2115614575,156754.39110022451,3044824.481589331,25.862929879737678,19.46900474692889,42.591222377288624,10.835803506803694,79.24043910095563,61.24648841231993,161.17459756313065,41.05179518249524,0.0,0.0
2021-03-29,4212.090645552444,929513.9161004359,141823.16731122034,3186600.411574099,25.97123847836935,19.805340335051632,45.48772984127708,10.756191260434523,79.97354818632579,61.7818873395395,162.38071367774643,41.40009078363264,0.0,0.0
2021-03-30,4349.1481864865245,933858.1312566362,128314.37018020064,3314870.023180639,26.16448002234634,20.490638792864516,45.53652408118626,10.68416329403716,80.6868112840165,62.319172583520434,163.5573620263425,41.73274171980445,0.0,0.0
2021-03-31,4522.298139129848,938375.9102173273,116092.4569554817,3430920.33078528,26.529812387479925,20.634405088661786,47.86666434088476,11.095245713241317,81.37247022839753,62.85643275219178,164.71347832128058,42.05051702878463,0.0,0.0
2021-04-01,4715.7197515222715,943087.4885286867,105034.80706427342,3535915.6492484957,26.19360252005184,21.05022211383621,48.16511033486886,11.657665592266074,82.02455554544757,63.39244612762931,165.85333887489185,42.35306846511491,0.0,0.0
2021-04-02,4926.719979075616,948010.4117972673,95030.4890070829,3630909.302579587,26.270409981267832,20.47395270338805,47.19690751031154,11.499776847753573,82.63727897652313,63.9252813009234,166.97757905022195,42.63908459349197,0.0,0.0
2021-04-03,5096.095346357243,953103.0250431796,205550.4685174841,3836425.5367035274,28.149589028672082,20.809797198568056,46.13043861921327,12.309395356338703,83.20563053859618,64.44987616205667,168.0851975216946,42.90709761978917,0.0,0.0
2021-04-04,5205.333326983966,958305.1639230367,185972.6265177944,4022365.413759193,28.897308587463627,21.589880540378644,44.97506392030476,12.470418538802171,83.72667384921084,64.95988668818542,169.17408416350986,43.15668799934594,0.0,0.0
2021-04-05,5298.832334383303,963601.0653982406,168259.63242231548,4190593.962362929,29.478560457595403,21.247961764449986,47.358568166705055,13.378065128062078,84.1983188804252,65.4507079380367,170.2445267007223,43.38774462051525,0.0,0.0
2021-04-06,5490.48022664482,969088.8564564001,152233.8287790831,4342798.478018336,29.432980208700112,22.843501178877236,47.89588349020552,13.151567516932824,84.61835423716165,65.91748390864939,171.30116278374425,43.60117028117381,0.0,0.0
2021-04-07,5802.072479892351,974888.4607767995,137734.4874894153,4480505.470281921,30.439424227073136,23.90608947020885,51.90604312339296,12.85139998260803,84.98361682552533,66.35416667742454,172.3499034708101,43.797865809996885,0.0,0.0
2021-04-08,6068.651667449247,980954.8457820428,124616.1957474121,4605095.99224686,31.06427533410896,24.20076382296727,56.01045523490629,13.53225647893212,85.29028759555402,66.75456161968091,173.393399194948,43.978263661547885,0.0,0.0
