date,dailycase,acccase,Mnuminter,Cnuminter,Mnumvac,Cnumvac
2021-09-03,4149.0,1509166.0,63.0,36.0,38.0,5.0
2021-09-04,3812.0,1512978.0,41.0,28.0,12.0,3.0
2021-09-05,3056.0,1516034.0,28.0,25.0,13.0,1.0
2021-09-06,3273.0,1519307.0,21.0,17.0,11.0,1.0
2021-09-07,3611.0,1522918.0,30.0,11.0,17.0,3.0
2021-09-08,4319.0,1527237.0,24.0,26.0,32.0,5.0
2021-09-09,4299.0,1531536.0,37.0,26.0,27.0,4.0
2021-09-10,4905.0,1536441.0,30.0,15.0,13.0,4.0
2021-09-11,4179.0,1540620.0,24.0,20.0,13.0,4.0
2021-09-12,3838.0,1544458.0,18.0,17.0,12.0,4.0
2021-09-13,3806.0,1548264.0,43.0,15.0,71.0,19.0
2021-09-14,4528.0,1552792.0,27.0,19.0,37.0,6.0
2021-09-15,4609.0,1557401.0,18.0,26.0,28.0,2.0
2021-09-16,5044.0,1562445.0,29.0,18.0,27.0,13.0
2021-09-17,4509.0,1566954.0,20.0,26.0,17.0,3.0
2021-09-18,4215.0,1571169.0,35.0,21.0,28.0,5.0
2021-09-19,3664.0,1574833.0,19.0,9.0,24.0,2.0
2021-09-20,4109.0,1578942.0,19.0,22.0,15.0,3.0
2021-09-21,3854.0,1582796.0,17.0,15.0,15.0,3.0
2021-09-22,4493.0,1587289.0,24.0,8.0,135.0,5.0
2021-09-23,4509.0,1591798.0,22.0,15.0,80.0,5.0
2021-09-24,4887.0,1596685.0,42.0,15.0,50.0,3.0
2021-09-25,4351.0,1601036.0,17.0,17.0,27.0,6.0
2021-09-26,4281.0,1605317.0,27.0,18.0,19.0,2.0
2021-09-27,3505.0,1608822.0,33.0,15.0,21.0,7.0
2021-09-28,4255.0,1613077.0,32.0,37.0,70.0,7.0
2021-09-29,4417.0,1617494.0,32.0,19.0,43.0,3.0
2021-09-30,4607.0,1622101.0,31.0,22.0,22.0,4.0
2021-10-01,4194.0,1626295.0,35.0,31.0,25.0,5.0
2021-10-02,3950.0,1630245.0,18.0,12.0,7.0,5.0
2021-10-03,3309.0,1633554.0,17.0,5.0,22.0,1.0
2021-10-04,2789.0,1636343.0,15.0,9.0,13.0,2.0
2021-10-05,3670.0,1640013.0,21.0,19.0,20.0,8.0
2021-10-06,3710.0,1643723.0,24.0,8.0,18.0,11.0
2021-10-07,4306.0,1648029.0,10.0,11.0,25.0,7.0
2021-10-08,3830.0,1651859.0,16.0,15.0,21.0,8.0
2021-10-09,3529.0,1655388.0,13.0,10.0,12.0,3.0
2021-10-10,2687.0,1658075.0,9.0,7.0,5.0,1.0
2021-10-11,2385.0,1660460.0,10.0,5.0,7.0,1.0
2021-10-12,2520.0,1662980.0,12.0,8.0,21.0,6.0
2021-10-13,3102.0,1666082.0,35.0,32.0,15.0,6.0
2021-10-14,3531.0,1669613.0,25.0,24.0,23.0,4.0
2021-10-15,3277.0,1672890.0,14.0,18.0,13.0,4.0
2021-10-16,3233.0,1676123.0,12.0,14.0,11.0,2.0
2021-10-17,2328.0,1678451.0,10.0,6.0,5.0,2.0
2021-10-18,2133.0,1680584.0,22.0,17.0,19.0,2.0
2021-10-19,2800.0,1683384.0,22.0,10.0,11.0,1.0
2021-10-20,2834.0,1686218.0,18.0,17.0,11.0,4.0
2021-10-21,2726.0,1688944.0,13.0,13.0,16.0,3.0
2021-10-22,2676.0,1691620.0,17.0,10.0,12.0,3.0
2021-10-23,2223.0,1693843.0,14.0,14.0,8.0,4.0
2021-10-24,1916.0,1695759.0,15.0,10.0,6.0,2.0
2021-10-25,1868.0,1697627.0,12.0,13.0,15.0,5.0
2021-10-26,2247.0,1699874.0,15.0,13.0,12.0,3.0
2021-10-27,2680.0,1702554.0,11.0,12.0,20.0,4.0
2021-10-28,2555.0,1705109.0,25.0,7.0,27.0,13.0
